Area	neighbour	Lon1	Lat1	Lon2	Lat2	Size.km	Perimeter.km	minDepth	maxDepth	MeanDepth	nrLayers
0	nan	-14.49125	64.0632	-1.70267	60.78727	71938.98136	2312	0	1557	430	5
0	nan	-1.70267	60.78727	4.79444	61.1638	71938.98136	2312	0	1557	430	5
0	nan	4.79444	61.1638	4.97266	61.68258	71938.98136	2312	0	1557	430	5
0	59	4.97266	61.68258	4.17572	61.72785	71938.98136	2312	0	1557	430	5
0	8	4.17572	61.72785	-1.4572	61.42871	71938.98136	2312	0	1557	430	5
0	nan	-1.4572	61.42871	-13.32497	64.45118	71938.98136	2312	0	1557	430	5
0	nan	-13.32497	64.45118	-14.49125	64.0632	71938.98136	2312	0	1557	430	5
1	10	9.20639	67.41096	7.27464	66.68477	100244.8601	1504	0	938	290	4
1	10	7.27464	66.68477	5.9306	65.82369	100244.8601	1504	0	938	290	4
1	10	5.9306	65.82369	5.93038	64.33506	100244.8601	1504	0	938	290	4
1	10	5.93038	64.33506	5.19518	63.20349	100244.8601	1504	0	938	290	4
1	10	5.19518	63.20349	3.69396	62.74411	100244.8601	1504	0	938	290	4
1	8	3.69396	62.74411	4.99397	62.20343	100244.8601	1504	0	938	290	4
1	7	4.99397	62.20343	5.3868	62.32149	100244.8601	1504	0	938	290	4
1	7	5.3868	62.32149	8.88732	63.87377	100244.8601	1504	0	938	290	4
1	7	8.88732	63.87377	10.47353	64.7303	100244.8601	1504	0	938	290	4
1	7	10.47353	64.7303	12.51957	66.28384	100244.8601	1504	0	938	290	4
1	6	12.51957	66.28384	9.20639	67.41096	100244.8601	1504	0	938	290	4
2	nan	13.00445	66.19858	14.7351	67.75347	5109.201709	429	0	300	100	2
2	3	14.7351	67.75347	14.02066	67.82131	5109.201709	429	0	300	100	2
2	6	14.02066	67.82131	12.51957	66.28384	5109.201709	429	0	300	100	2
2	7	12.51957	66.28384	13.00445	66.19858	5109.201709	429	0	300	100	2
3	4	17.6027	69.37673	17.10045	69.50071	17806.86729	696	0	400	78	2
3	6	17.10045	69.50071	16.64197	69.35642	17806.86729	696	0	400	78	2
3	6	16.64197	69.35642	15.83469	69.39186	17806.86729	696	0	400	78	2
3	6	15.83469	69.39186	13.23589	68.36598	17806.86729	696	0	400	78	2
3	6	13.23589	68.36598	12.09355	67.39849	17806.86729	696	0	400	78	2
3	6	12.09355	67.39849	14.02066	67.82131	17806.86729	696	0	400	78	2
3	2	14.02066	67.82131	14.7351	67.75347	17806.86729	696	0	400	78	2
3	nan	14.7351	67.75347	17.6027	69.37673	17806.86729	696	0	400	78	2
4	nan	21.62866	70.41632	23.00016	70.80428	6408.991116	612	0	357	67	2
4	28	23.00016	70.80428	23.03192	70.96949	6408.991116	612	0	357	67	2
4	5	23.03192	70.96949	19.94285	70.17025	6408.991116	612	0	357	67	2
4	5	19.94285	70.17025	19.12689	70.36858	6408.991116	612	0	357	67	2
4	5	19.12689	70.36858	18.19181	69.83165	6408.991116	612	0	357	67	2
4	5	18.19181	69.83165	17.10045	69.50071	6408.991116	612	0	357	67	2
4	3	17.10045	69.50071	17.6027	69.37673	6408.991116	612	0	357	67	2
4	nan	17.6027	69.37673	21.62866	70.41632	6408.991116	612	0	357	67	2
5	6	16.3081	69.71077	17.10045	69.50071	28484.97654	787	0	1185	240	3
5	4	17.10045	69.50071	18.19181	69.83165	28484.97654	787	0	1185	240	3
5	4	18.19181	69.83165	19.12689	70.36858	28484.97654	787	0	1185	240	3
5	4	19.12689	70.36858	19.94285	70.17025	28484.97654	787	0	1185	240	3
5	4	19.94285	70.17025	23.03192	70.96949	28484.97654	787	0	1185	240	3
5	27	23.03192	70.96949	19.3751	71.65547	28484.97654	787	0	1185	240	3
5	25	19.3751	71.65547	16.5801	71.17916	28484.97654	787	0	1185	240	3
5	12	16.5801	71.17916	17.20949	70.55754	28484.97654	787	0	1185	240	3
5	12	17.20949	70.55754	16.5783	69.88051	28484.97654	787	0	1185	240	3
5	12	16.5783	69.88051	16.3081	69.71077	28484.97654	787	0	1185	240	3
6	11	11.14208	68.33122	9.5117	67.5084	32477.77012	1231	0	1500	247	3
6	11	9.5117	67.5084	9.20639	67.41096	32477.77012	1231	0	1500	247	3
6	1	9.20639	67.41096	12.51957	66.28384	32477.77012	1231	0	1500	247	3
6	2	12.51957	66.28384	14.02066	67.82131	32477.77012	1231	0	1500	247	3
6	3	14.02066	67.82131	12.09355	67.39849	32477.77012	1231	0	1500	247	3
6	3	12.09355	67.39849	13.23589	68.36598	32477.77012	1231	0	1500	247	3
6	3	13.23589	68.36598	15.83469	69.39186	32477.77012	1231	0	1500	247	3
6	3	15.83469	69.39186	16.64197	69.35642	32477.77012	1231	0	1500	247	3
6	3	16.64197	69.35642	17.10045	69.50071	32477.77012	1231	0	1500	247	3
6	5	17.10045	69.50071	16.3081	69.71077	32477.77012	1231	0	1500	247	3
6	11	16.3081	69.71077	11.14208	68.33122	32477.77012	1231	0	1500	247	3
7	1	10.47353	64.7303	8.88732	63.87377	20757.25127	1257	0	400	56	2
7	1	8.88732	63.87377	5.3868	62.32149	20757.25127	1257	0	400	56	2
7	1	5.3868	62.32149	4.99397	62.20343	20757.25127	1257	0	400	56	2
7	59	4.99397	62.20343	5.28629	62.07537	20757.25127	1257	0	400	56	2
7	nan	5.28629	62.07537	9.27609	63.51263	20757.25127	1257	0	400	56	2
7	nan	9.27609	63.51263	11.79453	64.88566	20757.25127	1257	0	400	56	2
7	nan	11.79453	64.88566	13.00445	66.19858	20757.25127	1257	0	400	56	2
7	2	13.00445	66.19858	12.51957	66.28384	20757.25127	1257	0	400	56	2
7	1	12.51957	66.28384	10.47353	64.7303	20757.25127	1257	0	400	56	2
8	9	-0.15015	62.08479	-1.4572	61.42871	25369.40096	783	164	642	345	4
8	0	-1.4572	61.42871	4.17572	61.72785	25369.40096	783	164	642	345	4
8	59	4.17572	61.72785	4.99397	62.20343	25369.40096	783	164	642	345	4
8	1	4.99397	62.20343	3.69396	62.74411	25369.40096	783	164	642	345	4
8	9	3.69396	62.74411	-0.15015	62.08479	25369.40096	783	164	642	345	4
9	8	-1.4572	61.42871	-0.15015	62.08479	13552.01022	724	399	1323	794	6
9	8	-0.15015	62.08479	3.69396	62.74411	13552.01022	724	399	1323	794	6
9	10	3.69396	62.74411	2.62337	63.1342	13552.01022	724	399	1323	794	6
9	15	2.62337	63.1342	0.82024	62.79171	13552.01022	724	399	1323	794	6
9	15	0.82024	62.79171	-2.00363	61.60929	13552.01022	724	399	1323	794	6
9	nan	-2.00363	61.60929	-1.4572	61.42871	13552.01022	724	399	1323	794	6
10	15	5.51072	66.635	4.35817	65.06308	28033.70286	1392	390	1323	861	6
10	15	4.35817	65.06308	5.33487	64.17523	28033.70286	1392	390	1323	861	6
10	15	5.33487	64.17523	4.01251	63.12103	28033.70286	1392	390	1323	861	6
10	15	4.01251	63.12103	2.62337	63.1342	28033.70286	1392	390	1323	861	6
10	9	2.62337	63.1342	3.69396	62.74411	28033.70286	1392	390	1323	861	6
10	1	3.69396	62.74411	5.19518	63.20349	28033.70286	1392	390	1323	861	6
10	1	5.19518	63.20349	5.93038	64.33506	28033.70286	1392	390	1323	861	6
10	1	5.93038	64.33506	5.9306	65.82369	28033.70286	1392	390	1323	861	6
10	1	5.9306	65.82369	7.27464	66.68477	28033.70286	1392	390	1323	861	6
10	1	7.27464	66.68477	9.20639	67.41096	28033.70286	1392	390	1323	861	6
10	11	9.20639	67.41096	8.88763	67.51315	28033.70286	1392	390	1323	861	6
10	15	8.88763	67.51315	5.51072	66.635	28033.70286	1392	390	1323	861	6
11	14	10.64837	68.46704	8.88763	67.51315	8651.244012	822	358	2500	1480	7
11	10	8.88763	67.51315	9.20639	67.41096	8651.244012	822	358	2500	1480	7
11	6	9.20639	67.41096	9.5117	67.5084	8651.244012	822	358	2500	1480	7
11	6	9.5117	67.5084	11.14208	68.33122	8651.244012	822	358	2500	1480	7
11	6	11.14208	68.33122	16.3081	69.71077	8651.244012	822	358	2500	1480	7
11	12	16.3081	69.71077	16.07878	69.85185	8651.244012	822	358	2500	1480	7
11	14	16.07878	69.85185	10.64837	68.46704	8651.244012	822	358	2500	1480	7
12	5	16.5783	69.88051	17.20949	70.55754	13220.89174	1215	488	1787	937	6
12	5	17.20949	70.55754	16.5801	71.17916	13220.89174	1215	488	1787	937	6
12	25	16.5801	71.17916	15.23439	72.41141	13220.89174	1215	488	1787	937	6
12	25	15.23439	72.41141	15.67927	73.86507	13220.89174	1215	488	1787	937	6
12	23	15.67927	73.86507	16.33912	74.29856	13220.89174	1215	488	1787	937	6
12	23	16.33912	74.29856	15.8126	74.7821	13220.89174	1215	488	1787	937	6
12	19	15.8126	74.7821	15.21288	74.74	13220.89174	1215	488	1787	937	6
12	13	15.21288	74.74	15.62545	74.5187	13220.89174	1215	488	1787	937	6
12	13	15.62545	74.5187	15.42248	74.07238	13220.89174	1215	488	1787	937	6
12	13	15.42248	74.07238	13.90236	73.36387	13220.89174	1215	488	1787	937	6
12	13	13.90236	73.36387	14.23244	72.7159	13220.89174	1215	488	1787	937	6
12	13	14.23244	72.7159	15.26887	71.80149	13220.89174	1215	488	1787	937	6
12	13	15.26887	71.80149	16.2064	71.26106	13220.89174	1215	488	1787	937	6
12	13	16.2064	71.26106	16.76011	70.32648	13220.89174	1215	488	1787	937	6
12	13	16.76011	70.32648	16.07878	69.85185	13220.89174	1215	488	1787	937	6
12	11	16.07878	69.85185	16.3081	69.71077	13220.89174	1215	488	1787	937	6
12	5	16.3081	69.71077	16.5783	69.88051	13220.89174	1215	488	1787	937	6
13	17	7.85871	74.45831	8.46807	73.90214	59922.4261	1397	950	3000	1837	7
13	14	8.46807	73.90214	16.07878	69.85185	59922.4261	1397	950	3000	1837	7
13	12	16.07878	69.85185	16.76011	70.32648	59922.4261	1397	950	3000	1837	7
13	12	16.76011	70.32648	16.2064	71.26106	59922.4261	1397	950	3000	1837	7
13	12	16.2064	71.26106	15.26887	71.80149	59922.4261	1397	950	3000	1837	7
13	12	15.26887	71.80149	14.23244	72.7159	59922.4261	1397	950	3000	1837	7
13	12	14.23244	72.7159	13.90236	73.36387	59922.4261	1397	950	3000	1837	7
13	12	13.90236	73.36387	15.42248	74.07238	59922.4261	1397	950	3000	1837	7
13	12	15.42248	74.07238	15.62545	74.5187	59922.4261	1397	950	3000	1837	7
13	12	15.62545	74.5187	15.21288	74.74	59922.4261	1397	950	3000	1837	7
13	18	15.21288	74.74	7.85871	74.45831	59922.4261	1397	950	3000	1837	7
14	17	8.46807	73.90214	-8.33052	71.01553	315384.5636	2360	0	3034	2610	7
14	15	-8.33052	71.01553	8.88763	67.51315	315384.5636	2360	0	3034	2610	7
14	11	8.88763	67.51315	10.64837	68.46704	315384.5636	2360	0	3034	2610	7
14	11	10.64837	68.46704	16.07878	69.85185	315384.5636	2360	0	3034	2610	7
14	13	16.07878	69.85185	8.46807	73.90214	315384.5636	2360	0	3034	2610	7
15	9	0.82024	62.79171	2.62337	63.1342	540208.1005	3318	79	3500	2318	7
15	10	2.62337	63.1342	4.01251	63.12103	540208.1005	3318	79	3500	2318	7
15	10	4.01251	63.12103	5.33487	64.17523	540208.1005	3318	79	3500	2318	7
15	10	5.33487	64.17523	4.35817	65.06308	540208.1005	3318	79	3500	2318	7
15	10	4.35817	65.06308	5.51072	66.635	540208.1005	3318	79	3500	2318	7
15	10	5.51072	66.635	8.88763	67.51315	540208.1005	3318	79	3500	2318	7
15	14	8.88763	67.51315	-8.33052	71.01553	540208.1005	3318	79	3500	2318	7
15	16	-8.33052	71.01553	-7.61675	66.13627	540208.1005	3318	79	3500	2318	7
15	16	-7.61675	66.13627	-13.32497	64.45118	540208.1005	3318	79	3500	2318	7
15	nan	-13.32497	64.45118	-2.00363	61.60929	540208.1005	3318	79	3500	2318	7
15	9	-2.00363	61.60929	0.82024	62.79171	540208.1005	3318	79	3500	2318	7
16	15	-7.61675	66.13627	-8.33052	71.01553	294417.4133	2440	0	2000	1218	7
16	17	-8.33052	71.01553	-18.43428	71.51974	294417.4133	2440	0	2000	1218	7
16	54	-18.43428	71.51974	-19.37811	70.93171	294417.4133	2440	0	2000	1218	7
